               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.024312,            0.018618,             0.01449,             0.60279,             0.66256,             0.67044,             0.49171,            0.020862,           0.0083029,            0.013544,           0.0033227,           0.0033227,            0.070096
                   1,            0.025042,            0.018287,            0.014082,             0.62594,             0.60856,             0.65212,             0.46807,            0.022025,           0.0086033,            0.014228,           0.0053381,           0.0053381,            0.038778
                   2,            0.026382,            0.019045,            0.014204,             0.55818,             0.61256,             0.60601,             0.42223,            0.023225,           0.0091854,            0.014174,           0.0060336,           0.0060336,           0.0061401
                   3,             0.02591,            0.018924,            0.014138,             0.59291,             0.59851,             0.63099,             0.44455,            0.022555,           0.0091596,            0.015102,             0.00406,             0.00406,             0.00406
                   4,              0.0259,            0.018534,            0.013944,              0.6459,             0.59507,             0.65073,             0.46148,            0.022303,           0.0091548,            0.013933,             0.00406,             0.00406,             0.00406
