               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.021149,            0.016388,           0.0094211,             0.64509,             0.63183,             0.68538,             0.51991,            0.020302,           0.0081996,            0.017238,           0.0033227,           0.0033227,            0.070096
                   1,            0.021557,            0.016177,           0.0089108,             0.64821,             0.64432,             0.67216,             0.49682,            0.021603,           0.0086429,            0.018545,           0.0053381,           0.0053381,            0.038778
                   2,            0.022275,            0.016557,           0.0087057,             0.58325,             0.65828,              0.6441,             0.46218,             0.02236,           0.0088542,            0.017112,           0.0060336,           0.0060336,           0.0061401
                   3,            0.022045,            0.016619,           0.0088063,             0.62444,             0.62164,             0.65771,             0.48279,            0.020992,           0.0086519,            0.017871,             0.00406,             0.00406,             0.00406
                   4,            0.021912,              0.0161,           0.0084616,             0.63553,             0.65843,             0.68044,             0.50805,            0.020866,           0.0086545,            0.018002,             0.00406,             0.00406,             0.00406
