               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.022443,             0.01742,            0.011683,               0.636,             0.65193,             0.68095,             0.49929,             0.02154,           0.0082976,            0.013813,           0.0033227,           0.0033227,            0.070096
                   1,               0.025,            0.018202,            0.013929,             0.57927,              0.6483,             0.64499,             0.46111,            0.022698,           0.0087926,            0.014614,           0.0053381,           0.0053381,            0.038778
                   2,            0.026412,              0.0191,            0.014284,             0.55653,             0.59909,             0.60086,              0.4146,            0.023417,            0.009202,            0.015427,           0.0060336,           0.0060336,           0.0061401
                   3,            0.026074,            0.018929,            0.014054,              0.5957,             0.64256,             0.65212,             0.46683,            0.021791,           0.0088025,            0.013412,             0.00406,             0.00406,             0.00406
                   4,             0.02574,            0.018449,            0.013653,             0.59765,             0.65043,             0.65109,             0.46214,            0.022508,           0.0091461,            0.014261,             0.00406,             0.00406,             0.00406
