               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.047785,            0.028887,            0.030642,             0.32689,             0.54093,             0.44367,             0.27277,            0.026313,            0.010406,            0.020628,            0.003328,            0.003328,            0.070048
                   1,             0.03417,            0.021549,            0.020691,              0.6699,             0.47974,             0.53301,             0.34916,            0.024956,           0.0097516,            0.015654,           0.0053424,           0.0053424,            0.038729
                   2,            0.031053,            0.020973,            0.018665,             0.46162,             0.63202,              0.5615,             0.36563,            0.023951,            0.010296,            0.017124,           0.0060368,           0.0060368,           0.0060901
                   3,            0.028176,            0.020437,            0.016884,             0.50606,              0.5878,             0.57116,             0.38828,            0.022687,           0.0099599,            0.016343,             0.00406,             0.00406,             0.00406
                   4,            0.026893,            0.019862,            0.015829,             0.60494,             0.63178,             0.66013,             0.47114,            0.021204,           0.0089757,            0.012403,             0.00406,             0.00406,             0.00406
